10901854,zone,id_obj1,id_obj2,label_obj1,label_obj2,object_pair_labels,pos_x_obj1,pos_y_obj1,pos_x_obj2,pos_y_obj2,vel_x_obj1,vel_y_obj1,vel_obj1,vel_x_obj2,vel_y_obj2,vel_obj2,yaw_obj1,yaw_obj2,size_x_obj1,size_y_obj1,size_x_obj2,size_y_obj2,rel_dist,rel_vel,min_safe_dist,ttc_min_dist,ttc,ttc_severity_score,traj_min_dist,traj_time_horizon,traj_severity_score,env_min_dist,env_max_overlap_prob,env_time_horizon,env_severity_score,n_models,decel_initial_speed,decel_final_speed,decel_speed_change,decel_avg_deceleration,decel_max_deceleration,decel_observation_time,decel_num_frames_observed,decel_alignment,decel_intersection_distance,decel_lv_time_to_intersection,decel_hv_time_to_intersection,decel_severity,decel_model,date,ts_minus_10,replay_link,label1,label2,interaction_type,hour,day_of_week,interaction_type_2,is_real_near_miss,LiDAR_artifact,description
48:40.5,1001,10955639,10955730,4,5,4_5,38.28125,7.1210938,40.75,11.046875,1.9501953,4.0117188,4.417616,-0.049987793,0,0.021776121,0.6279297,3.2792969,4.4609375,2,0.6201172,0.7001953,4.6375084,4.4827023,1.9453125,0.45768183,1.0702609,0.034770634,0.5536141,0.96,0.20010151,0.8909205,0.3358604,1.2,0.41060787,3,,,,,,,,,,,,,FALSE,6/1/2025,48:30.5,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T18:48:30Z,4,5,car-escooter,21,Sunday,stationary conflict,No,No,Turning car vs Stopped e-scooter at signal - different lanes
48:53.0,1001,10955877,10955730,4,5,4_5,38.5,7.5898438,40.78125,11.0703125,2.1992188,3.1894531,3.8365977,-0.010002136,0,0.000753912,0.59033203,3.0800781,4.0703125,1.9003906,0.6201172,0.7001953,4.161462,3.8798542,1.8227539,0.10648562,1.1504322,0.007643679,0.4482725,0.96,0.21406223,0.4482726,0.36661676,0.96,0.43543458,3,,,,,,,,,,,,,FALSE,6/1/2025,48:43.0,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T18:48:43Z,4,5,car-escooter,21,Sunday,stationary conflict,No,No,Turning car vs Stopped e-scooter at signal - different lanes
48:57.0,1001,10955926,10955730,4,5,4_5,38.625,6.890625,40.78125,11.09375,1.9101562,4.0585938,4.438274,0,-0.010002136,0.00953886,0.63134766,4.3007812,4.546875,1.9804688,0.6201172,0.7001953,4.723947,4.4946823,1.9619141,0.16559574,1.1046177,0.012275049,0.43860856,0.96,0.25232762,0.43860778,0.35420778,0.96,0.4873627,3,,,,,,,,,,,,,FALSE,6/1/2025,48:47.0,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T18:48:47Z,4,5,car-escooter,21,Sunday,stationary conflict,No,No,Turning car vs Stopped e-scooter at signal - different lanes
25:28.2,1001,10978478,10978532,4,2,2_4,40.8125,11.6328125,36.46875,12.71875,-1.5595703,-0.66015625,2.7267694,-1.3896484,-1.8398438,2.2365067,3.5253906,4.0390625,4.5117188,1.9501953,1.4902344,0.6298828,4.477435,1.1918625,2.1455078,,,,,,,,,,,0,2.7267694,3.0775454,-0.35077596,3.0012786,4.074113,1,10,0.80874765,3.81E-06,2.3366776,4.867308,serious,TRUE,6/1/2025,25:18.2,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T19:25:18Z,2,4,cyclist-car,22,Sunday,rear-end,No,No,Car following bicycle at safe distance (non risky)
20:11.5,1002,11007711,11007647,4,5,4_5,28.953125,14.5,27.640625,21.40625,-0.8701172,6.6484375,6.7644596,-0.010002136,-0.010002136,0.011585721,1.5595703,4.1210938,4.2304688,1.9697266,0.6098633,0.70996094,7.029861,6.713763,1.8800049,0.4169087,1.0963807,0.03108549,0.70803404,0.96,0.19601904,0.7080347,0.33474147,0.96,0.68797195,3,,,,,,,,,,,,,FALSE,6/1/2025,20:01.5,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T20:20:01Z,4,5,car-escooter,23,Sunday,stationary conflict,No,No,Turning car vs Stopped e-scooter at signal - different lanes
20:13.8,1002,11007734,11007647,4,5,4_5,28.75,15.59375,27.625,21.4375,-0.72021484,5.8398438,5.7997594,-0.010002136,-0.020004272,0.035322476,1.4667969,4.0273438,4.1289062,1.9453125,0.6098633,0.70996094,5.9510536,5.90273,1.8485107,0.41370764,1.0164404,0.032692935,0.4940401,0.96,0.29865447,0.49403974,0.35390195,0.96,0.639486,3,,,,,,,,,,,,,FALSE,6/1/2025,20:03.8,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T20:20:03Z,4,5,car-escooter,23,Sunday,stationary conflict,No,No,Turning car vs Stopped e-scooter at signal - different lanes
20:15.4,1002,11007766,11007647,4,5,4_5,28.265625,14.453125,27.59375,21.359375,-0.6401367,6.4101562,6.4722276,-0.010002136,-0.020004272,0.051504765,1.5361328,4.1640625,4.1289062,1.9296875,0.6098633,0.70996094,6.9388547,6.4609623,1.8446045,0.005524272,1.1534033,0.000395723,0.73634547,0.96,0.17034622,0.7363469,0.35760897,0.96,0.70729536,3,,,,,,,,,,,,,FALSE,6/1/2025,20:05.4,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-01T20:20:05Z,4,5,car-escooter,23,Sunday,stationary conflict,No,No,Turning car vs Stopped e-scooter at signal - different lanes
07:31.8,1003,11119214,11119562,4,1,1_4,10.546875,14.5,9,20.765625,-1.1796875,5.21875,5.5253716,0.33007812,-0.6098633,0.77599704,2.0058594,5.5039062,3.9199219,1.8603516,0.95996094,0.8100586,6.453749,6.0209737,1.8875732,0.0736512,1.1489224,0.005292329,0.6772117,0.96,0.19435,0.6772119,0.4227022,0.96,0.7791058,3,,,,,,,,,,,,,FALSE,6/2/2025,07:21.8,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-02T03:07:21Z,1,4,pedestrian-car,6,Monday,head-on,No,Yes,Pedestrian disappears after a short period
04:36.5,1005,11185376,11185501,4,1,1_4,-2.6503906,-11.09375,0.4699707,-11.96875,3.4101562,1.1601562,3.6673088,-0.02999878,0.10998535,0.2360037,0.26171875,1.9941406,4.2382812,1.9501953,0.39990234,0.5600586,3.2407222,3.596877,1.7871094,1.7479185,0.8117689,0.16250458,,,,,,,,1,3.6673088,4.09891,-0.43160105,3.7068677,3.7068677,0.3,3,0.8602107,3.28E-07,16.11239,0.77328116,serious,TRUE,6/2/2025,04:26.5,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-02T05:04:26Z,1,4,pedestrian-car,8,Monday,crossing,Yes,No,Hard breaking of the car observed to avoid collision with crossing pedestrian
39:55.9,1006,11212059,11211963,4,1,1_4,27.6875,-23.15625,32.6875,-30.65625,5.4609375,-6.421875,8.876594,1.0595703,1.0595703,1.3092688,5.421875,0.7866211,4.4882812,2,0.4248047,0.7001953,9.013878,8.680096,1.9033203,0.50655645,1.0783863,0.03825917,0.8373443,0.96,0.14118668,0.83734524,0.31132087,0.96,0.82723314,3,,,,,,,,,,,,,FALSE,6/2/2025,39:45.9,https://di-india-collab.flow-analytics.io/tools/replay/2025-06-02T05:39:45Z,1,4,pedestrian-car,8,Monday,crossing,Yes,No,Car speeding towards crossing pedestrian and doesn't slow down
