id1,id2,filter_failed,reason,total_timestamps,passed_filter,final_pairs,min_speed_diff,max_speed_diff,mean_speed_diff,min_ttc,max_ttc_val,min_lateral_dist,max_lateral_dist
10998326,10998353,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,237,28,,,,,4.684004783630371,8.029356002807617,,
11002047,11002067,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,561,20,,,,,3.914804220199585,13.576437950134277,,
11003809,11003819,SPEED_DIFF,Follower not faster than leader (speed_diff <= 1.0 m/s),649,50,,-0.04604731500148773,0.10021959245204926,0.004303936380892992,,,,
11004364,11004402,ZONE_OR_DATA_ISSUE,Passed all M-DRAC filters - likely zone geometry or data processing issue,158,1,1.0,,,,,,,
11006507,11006540,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,592,42,,,,,6.161457061767578,21.169435501098633,,
11006659,11006675,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,471,38,,,,,3.1876907348632812,7.496747970581055,,
11007650,11007681,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,241,26,,,,,2.580066680908203,4.13511848449707,,
11010444,11010473,SPEED_DIFF,Follower not faster than leader (speed_diff <= 1.0 m/s),522,229,,-1.4431475400924683,0.8220336437225342,-0.035000529140233994,,,,
11011427,11011478,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,379,57,,,,,2.3874642848968506,23.640308380126953,,
11012734,11013125,ZONE_OR_DATA_ISSUE,Passed all M-DRAC filters - likely zone geometry or data processing issue,160,1,1.0,,,,,,,
11014127,11014402,ZONE_OR_DATA_ISSUE,Passed all M-DRAC filters - likely zone geometry or data processing issue,219,13,13.0,,,,,,,
11017915,11018061,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,181,6,,,,,2.174370050430298,3.5114190578460693,,
11017936,11017958,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,262,23,,,,,8.475552558898926,15.741828918457031,,
11024700,11024896,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,251,89,,,,,2.209932804107666,6.454163551330566,,
11024877,11024896,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,269,27,,,,,3.0329349040985107,21.680587768554688,,
11024918,11024922,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,855,37,,,,,4.9043378829956055,11.241450309753418,,
11025629,11025682,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,210,65,,,,,2.1575870513916016,4.15722131729126,,
11029444,11029465,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,870,107,,,,,3.7240474224090576,14.932188034057617,,
11031439,11031682,ZONE_OR_DATA_ISSUE,Passed all M-DRAC filters - likely zone geometry or data processing issue,175,6,6.0,,,,,,,
11033470,11033482,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,687,40,,,,,3.393897294998169,7.940119743347168,,
11033682,11033690,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,374,62,,,,,5.023309230804443,104.17833709716797,,
11034055,11034146,ZONE_OR_DATA_ISSUE,Passed all M-DRAC filters - likely zone geometry or data processing issue,218,11,11.0,,,,,,,
11047683,11047697,SPEED_DIFF,Follower not faster than leader (speed_diff <= 1.0 m/s),200,24,,-3.504300117492676,0.7782320976257324,0.19569937884807587,,,,
11049565,11049570,ZONE_OR_DATA_ISSUE,Passed all M-DRAC filters - likely zone geometry or data processing issue,118,5,5.0,,,,,,,
11050465,11050529,TTC_CLOSING,TTC > 2.0s or closing_speed < 1.0 m/s,235,41,,,,,2.2156174182891846,3.934418201446533,,
