pair_id,timestamp,label1,label2,link,same_zone,mdrac,distance,closing_speed,closing_accel,ttc,yaw_diff,yaw_rate,prediction,probability,log_probability,mahalanobis_distance
10507710_10507726,2025-06-01 08:43:58.443501949,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T08:43:58Z,1,0.0698902741074562,7.970561,0.96008646,-0.1804623162878669,8.30192,5.1476674,-6.5531321739769774,1,0.08535665213326725,-2.4609168933146357,0.4390478633879203
10515670_10515717,2025-06-01 08:59:18.119311094,4,6,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T08:59:18Z,1,0.0677200648933649,7.081919,1.1330523,-1.3384216292168818,6.250302,1.4547756,-0.9262591362225816,1,0.05327601830390124,-2.9322689870759286,1.065583039405229
10515958_10516318,2025-06-01 09:00:24.943038940,4,6,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T09:00:24Z,1,0.1182708491881688,7.9458156,1.1803656,-2.3512301273953677,6.7316566,2.0143046,3.7760262689601545,1,0.07932359229347487,-2.53421968773432,0.5825535298879125
10516013_10516285,2025-06-01 09:00:27.441770077,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T09:00:27Z,1,0.0678389277309179,7.9449253,0.9074388,0.4217957489253073,8.755329,8.281031,13.507440343677748,1,0.0829135812761729,-2.4899564030435046,0.5008413379536824
10518358_10518403,2025-06-01 09:03:25.452765942,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T09:03:25Z,1,0.2006797716021537,7.2604485,1.4217002,-2.6749896880803163,5.1068773,3.580986,-1.2091665015863362,1,0.05399330940790032,-2.9188951399477814,1.0529575108292781
10522986_10523003,2025-06-01 09:11:18.278129101,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T09:11:18Z,1,0.1029567538450161,4.425875,1.2218266,3.3867790622352154,3.6223433,0.8952465,-0.4679821643823792,-1,0.0023474500863645475,-6.054425609572422,2.7165751340357005
10525064_10525286,2025-06-01 09:14:14.255125999,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T09:14:14Z,1,0.2166111146410306,6.9547224,1.5777801,1.5496566022003524,4.407916,3.2452686,7.701046109203051,1,0.047316164904262124,-3.050903289135599,1.1716380917277411
10527993_10528013,2025-06-01 09:17:54.155796051,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T09:17:54Z,1,0.065266840159893,7.987543,0.9140228,-0.0378144858587567,8.738888,6.2667255,-2.0578103835094628,1,0.08345636829767242,-2.4834313190517205,0.4876390856152391
10529277_10529311,2025-06-01 09:19:38.866826057,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T09:19:38Z,1,1.0435808102289836,7.8213077,2.866577,-1.8899818110634876,2.7284486,4.0286093,13.897170283058866,-1,0.0005464257534892669,-7.512112117785355,3.208606157708817
10532820_10533119,2025-06-01 09:25:56.632566929,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T09:25:56Z,1,0.1655142575502395,6.5026236,1.3245227,-0.2112008087634173,4.9094086,17.960882,0.4064392866099903,1,0.032427619182241976,-3.428744775411447,1.4589101379245826
10532932_10533119,2025-06-01 09:25:57.225263119,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T09:25:57Z,1,0.0987466126680374,6.6075377,0.9302058,0.3314995830589536,7.1033072,4.0286093,-1.57014638827699,1,0.04122848745693769,-3.188625818433767,1.2838149697615169
10535364_10535384,2025-06-01 09:29:12.540762901,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T09:29:12Z,1,0.0757498547434806,7.924289,0.959371,0.5641325015824108,8.25988,1.790493,1.1709526457149553,1,0.08463944721617112,-2.4693548418933435,0.4578634332450164
10535384_10535401,2025-06-01 09:29:23.392793894,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T09:29:23Z,1,0.0541976884007453,7.370778,0.79962105,0.3622796238905599,9.217839,0.55952907,-6.331747228238208,1,0.07379842068250735,-2.606417947570718,0.695532267301569
10539050_10539631,2025-06-01 09:34:56.460139036,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T09:34:56Z,1,0.1631096303462982,6.347001,1.2663662,-0.5350218080498722,5.011979,0.8952465,2.92345173958887,1,0.02707650685905843,-3.6090888326462234,1.577690370449372
10540442_10540480,2025-06-01 09:36:24.554958105,7,6,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T09:36:24Z,1,0.0261043527474006,7.8196893,0.6077903,1.1395921521375614,12.865768,0.8952465,-4.5251580091669465,1,0.007801248417622302,-4.853471504552472,2.231114575458009
10542569_10542612,2025-06-01 09:38:51.738563061,6,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T09:38:51Z,1,0.2299226194620132,7.833429,1.7392548,-1.5752183935800417,4.5038996,3.580986,-18.679202706789955,1,0.052694440132495114,-2.943245329332533,1.075834512544234
10544011_10544266,2025-06-01 09:41:04.770087957,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T09:41:04Z,1,0.0835794478654861,6.991432,0.97303635,0.3742011513992362,7.1851707,11.414392,7.204852653124933,1,0.0550214155090601,-2.900032796643617,1.0348888022408314
10544172_10544251,2025-06-01 09:41:05.561690092,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T09:41:05Z,1,0.0554050125181675,7.9881043,0.89121777,-0.0785636737002924,8.963134,4.4762325,-8.104271661146578,1,0.08158697503657925,-2.506085649402412,0.5320719298375449
10544862_10544912,2025-06-01 09:42:28.288988113,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T09:42:28Z,1,0.0326871786266565,7.8721356,0.6931949,-0.0065501147713554,11.356309,2.6857395,-6.849140005317229,1,0.032538627130747934,-3.4253273682857044,1.4565658159821113
10544912_10544959,2025-06-01 09:42:30.589359999,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T09:42:30Z,1,0.1395775020122528,7.9249725,1.3926163,-0.6137549091346559,5.690708,2.2381163,2.142783135525306,1,0.07194241219721235,-2.631889310595505,0.731237212474335
10547030_10547188,2025-06-01 09:45:37.953680038,4,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T09:45:37Z,1,0.4874409735202789,7.8005533,2.0948205,-1.4665716736881411,3.7237334,0.6714349,-1.6903392340735883,1,0.0285513097274255,-3.5560524690662954,1.5437079315235813
10547370_10547401,2025-06-01 09:45:40.237111092,4,6,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T09:45:40Z,1,0.3836128016312917,7.8258023,1.9848996,-0.2782157796038937,3.942669,0.55952907,0.0,1,0.03544472678116206,-3.3397807879525145,1.3965997335032156
10547401_10547445,2025-06-01 09:45:40.842909098,6,4,https://di-india-collab-2.flow-analytics.io/tools/replay/2025-06-01T09:45:40Z,1,0.3002803772687912,7.670974,1.7336794,0.426067802404383,4.4246783,0.11190581,1.648893045096248,1,0.054329955097757884,-2.9126795448913847,1.0470378835070835
