pair_id,timestamp,label1,label2,link,same_zone,mdrac,distance,closing_speed,closing_accel,ttc,yaw_diff,yaw_rate,prediction,anomaly_score,risk_level
10670471_10670768,2025-06-01 12:33:09.462640047,4,4,https://brussels.flow-analytics.io/tools/replay/2025-06-01T12:33:09Z,0,54.489597,6.6530213,21.79584,-74.17494414709086,0.30524272,106.18463,-16.52325144280841,-1,-0.03968060261277284,normal
10685326_10685668,2025-06-01 12:54:37.445879936,4,4,https://brussels.flow-analytics.io/tools/replay/2025-06-01T12:54:37Z,0,0.03802981,4.213307,0.5119163,-71.2268862591099,8.230461,179.94455,3.606807805252915,-1,-0.0010364713424925176,normal
10694646_10695337,2025-06-01 13:08:04.732741117,4,4,https://brussels.flow-analytics.io/tools/replay/2025-06-01T13:08:04Z,0,51.40129,5.6438055,20.560516,-99.21327698754736,0.27449727,179.71973,2.1159838386706946,-1,-0.004983798617114621,normal
10697726_10697977,2025-06-01 13:11:30.595381021,6,4,https://brussels.flow-analytics.io/tools/replay/2025-06-01T13:11:30Z,0,0.06615322,4.4229517,0.67215306,23.67144115200027,6.5802746,178.48875,-1873.0933832345056,-1,-0.02392996051377705,normal
10701592_10701644,2025-06-01 13:15:10.511902094,4,4,https://brussels.flow-analytics.io/tools/replay/2025-06-01T13:15:10Z,0,13.948328,3.0442095,5.5793314,-17.232911601943005,0.54562265,123.1933,-162.66303562068077,-1,-0.016304119768318137,normal
10772454_10772758,2025-06-01 14:38:12.763916969,6,4,https://brussels.flow-analytics.io/tools/replay/2025-06-01T14:38:12Z,0,24.207764,4.876302,9.683105,-40.4270337822144,0.5035886,3.580986,1734.5244875784997,-1,-0.03806209988222786,normal
10807117_10807708,2025-06-01 15:22:58.488537073,4,4,https://brussels.flow-analytics.io/tools/replay/2025-06-01T15:22:58Z,0,53.012276,4.5660305,21.20491,-96.70906889937858,0.21532892,175.69112,11.773458912026008,-1,-0.038343243185681164,normal
10807117_10807726,2025-06-01 15:22:59.381401062,4,4,https://brussels.flow-analytics.io/tools/replay/2025-06-01T15:22:59Z,0,31.618435,3.963949,12.647374,-99.58820001099905,0.3134207,176.92207,-26.237625772519504,-1,-0.011557870215434196,normal
10814368_10814380,2025-06-01 15:33:44.681684017,4,4,https://brussels.flow-analytics.io/tools/replay/2025-06-01T15:33:44Z,0,0.06963919,3.0715744,0.55789727,-1.7399186786537235,5.505627,20.143047,-89.18508813633677,-1,-0.016054588456531516,normal
10829601_10829953,2025-06-01 15:57:26.694636106,4,7,https://brussels.flow-analytics.io/tools/replay/2025-06-01T15:57:26Z,0,53.801384,6.180887,21.520554,-103.58793111422378,0.28720856,177.2578,10.671332051631572,-1,-0.03366035756244257,normal
10842727_10842969,2025-06-01 16:14:11.684700012,4,4,https://brussels.flow-analytics.io/tools/replay/2025-06-01T16:14:11Z,0,42.734383,6.1871843,17.093754,-41.83230727091168,0.36195585,88.797264,-44.79159998636289,-1,-0.006649482778321114,normal
10842858_10843000,2025-06-01 16:14:15.685169935,4,4,https://brussels.flow-analytics.io/tools/replay/2025-06-01T16:14:15Z,0,48.699368,6.002929,19.479748,-105.19093442849405,0.30816257,179.94455,-7.014770811837446,-1,-0.0007477530989964398,normal
10845870_10846105,2025-06-01 16:18:39.393910885,4,4,https://brussels.flow-analytics.io/tools/replay/2025-06-01T16:18:39Z,0,0.1259023,2.8608687,0.68065536,-90.04203596084392,4.2031093,176.92207,-8.535864024242464,-1,-0.002382722011539551,normal
10873374_10873592,2025-06-01 16:55:48.477106094,4,4,https://brussels.flow-analytics.io/tools/replay/2025-06-01T16:55:48Z,0,39.59867,7.071068,15.839468,4.699462568258288,0.4464208,98.32324,408.8160499373225,-1,-0.022788400457864677,normal
10882894_10883224,2025-06-01 17:06:28.252480030,4,6,https://brussels.flow-analytics.io/tools/replay/2025-06-01T17:06:28Z,0,0.559871,2.0864577,0.90420306,-4.140714167354694,2.3075101,55.322426,124.29290724606749,-1,-0.001205906798742884,normal
10928395_10928402,2025-06-01 18:04:53.811768055,4,4,https://brussels.flow-analytics.io/tools/replay/2025-06-01T18:04:53Z,0,4.822311,3.0753875,1.9289244,-5.945824686129432,1.5943536,13.316792,1286.1385345773774,-1,-0.010883131737756901,normal
10950447_10950635,2025-06-01 18:41:18.964669943,4,4,https://brussels.flow-analytics.io/tools/replay/2025-06-01T18:41:18Z,0,47.60916,6.1911488,19.043665,-10.86106290379455,0.3251028,173.00537,49.304146689014274,-1,-0.0012243030081352524,normal
10991385_10991688,2025-06-01 19:48:35.471668005,4,4,https://brussels.flow-analytics.io/tools/replay/2025-06-01T19:48:35Z,0,42.20142,3.974774,16.880568,-136.32043333839638,0.23546447,179.2721,5.565560533951394,-1,-0.011082875606434617,normal
11020204_11020369,2025-06-01 20:50:15.494467020,4,6,https://brussels.flow-analytics.io/tools/replay/2025-06-01T20:50:15Z,0,53.828094,5.59017,21.531239,-101.11395473301076,0.25963068,179.2721,-2.357162226648585,-1,-0.02870020388714367,normal
11029756_11030079,2025-06-01 21:13:59.656474113,6,4,https://brussels.flow-analytics.io/tools/replay/2025-06-01T21:13:59Z,0,60.450733,7.007599,24.180294,-124.89059353203383,0.2898062,179.384,-4.095022995252645,-1,-0.011319712007126781,normal
